timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;train_acc;train_loss;f1;params
10/01/2026 19:23;30;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,207;2,163796;0,202;58743
11/01/2026 0:48;31;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,208;2,16204;0,202;58743
11/01/2026 6:28;32;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,207;2,159147;0,2;58743
11/01/2026 12:12;33;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,207;2,158412;0,202;58743
11/01/2026 18:17;34;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,208;2,154038;0,203;58743
12/01/2026 0:45;35;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,207;2,152657;0,202;58743
12/01/2026 7:08;36;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,21;2,15034;0,205;58743
12/01/2026 13:34;37;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,211;2,146313;0,204;58743
12/01/2026 20:11;38;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,211;2,14362;0,206;58743
13/01/2026 3:23;39;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,212;2,141751;0,206;58743
13/01/2026 10:21;40;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,213;2,139282;0,208;58743
13/01/2026 17:30;41;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,216;2,138139;0,212;58743
