id;timestamp;genes;clean_acc;blackbox_acc
13;2025-11-25T18:18:19.456890;[1. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,78968254;68,75
14;2025-11-25T18:20:34.234012;[1. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,78968254;69,04761905
15;2025-11-25T18:22:49.236806;[1. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,78968254;69,89087302
22;2025-11-25T19:23:09.349371;[1. 2. 1. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,78968254;69,89087302
26;2025-11-25T19:25:44.413756;[1. 2. 1. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,78968254;68,3531746
28;2025-11-25T19:29:59.870713;[1. 2. 1. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,78968254;70,88293651
48;2025-11-25T19:59:39.246448;[1. 2. 1. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,78968254;69,99007937
47;2025-11-25T19:10:13.534317;[1. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,69047619;58,33333333
27;2025-11-25T17:04:01.074911;[2. 2. 2. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.];88,59126984;69,89087302
37;2025-11-25T17:35:58.775029;[2. 2. 2. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.];88,59126984;72,17261905
41;2025-11-25T19:05:21.387582;[1. 2. 2. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,59126984;68,75
11;2025-11-25T16:14:23.432749;[2. 1. 2. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,49206349;70,03968254
17;2025-11-25T16:34:15.314349;[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];88,49206349;73,21428571
22;2025-11-25T16:49:07.407024;[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];88,49206349;72,2718254
28;2025-11-25T17:05:32.827217;[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];88,49206349;72,71825397
12;2025-11-25T18:16:03.133298;[2. 2. 2. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,49206349;69,1468254
16;2025-11-25T18:24:21.809270;[2. 2. 2. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,49206349;69,3452381
7;2025-11-25T16:02:26.848442;[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;73,61111111
10;2025-11-25T16:12:09.460823;[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;71,52777778
15;2025-11-25T16:28:04.757465;[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;73,46230159
21;2025-11-25T16:47:35.882416;[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;73,95833333
24;2025-11-25T16:55:51.356619;[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;72,86706349
26;2025-11-25T17:02:29.278812;[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;71,52777778
32;2025-11-25T17:18:39.571099;[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;75,04960317
33;2025-11-25T17:20:10.394034;[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;72,81746032
39;2025-11-25T17:41:59.571118;[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;75,1984127
42;2025-11-25T17:52:23.575832;[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;72,22222222
46;2025-11-25T18:03:40.659616;[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,39285714;71,2797619
31;2025-11-25T17:17:07.103678;[1. 1. 2. 1. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,19444444;71,37896825
19;2025-11-25T18:28:54.385654;[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.];88,19444444;73,31349206
20;2025-11-25T18:31:10.859104;[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.];88,19444444;74,00793651
21;2025-11-25T18:33:25.640967;[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.];88,19444444;74,35515873
33;2025-11-25T18:54:48.749803;[0. 2. 0. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,19444444;72,86706349
0;2025-11-25T15:34:19.362295;[1. 1. 2. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0.];87,6984127;69,99007937
47;2025-11-25T15:25:07.323790;[0. 0. 0. 0. 0. 2. 2. 0. 2. 0. 0. 0. 2. 0. 1. 0.];87,40079365;61,35912698
21;2025-11-25T13:57:59.223465;[0. 2. 2. 0. 1. 2. 0. 0. 2. 0. 0. 0. 2. 0. 2. 0.];87,1031746;64,03769841
48;2025-11-25T12:21:03.181077;[2. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 2.];86,30952381;68,79960317
25;2025-11-25T17:00:14.556126;[2. 1. 2. 1. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];86,30952381;75,5952381
34;2025-11-25T17:24:33.431871;[2. 1. 2. 1. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];86,30952381;73,95833333
40;2025-11-25T17:46:22.401278;[2. 1. 2. 1. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];86,30952381;73,11507937
46;2025-11-25T12:15:21.917283;[2. 1. 0. 0. 1. 0. 0. 0. 2. 1. 0. 0. 0. 0. 1. 2.];84,92063492;55,00992063
41;2025-11-24T15:00:23.157727;[2. 0. 2. 1. 1. 1. 0. 0. 2. 0. 1. 2. 0. 0. 0. 0.];84,92063492;63,39285714
11;2025-11-21T12:22:53.409779;[1. 1. 1. 1. 1. 0. 1. 0. 2. 0. 0. 1. 2. 0. 0. 0.];84,82142857;66,66666667
42;2025-11-24T15:06:07.159500;[0. 1. 0. 1. 0. 1. 2. 1. 2. 0. 2. 1. 2. 1. 1. 1.];84,52380952;52,77777778
13;2025-11-24T12:44:54.088650;[0. 2. 0. 0. 1. 2. 2. 1. 2. 1. 0. 0. 2. 1. 1. 2.];84,42460317;59,72222222
39;2025-11-24T19:24:17.194407;[2. 1. 2. 2. 0. 2. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0.];84,12698413;63,69047619
29;2025-11-25T17:10:02.048381;[2. 1. 2. 1. 1. 2. 0. 2. 0. 0. 0. 1. 0. 0. 0. 0.];83,92857143;74,90079365
36;2025-11-25T17:34:26.761996;[2. 1. 1. 1. 1. 2. 0. 2. 0. 0. 0. 1. 0. 0. 0. 0.];83,92857143;76,24007937
19;2025-11-25T16:40:50.606620;[2. 1. 2. 1. 1. 2. 0. 2. 0. 0. 0. 0. 0. 0. 1. 0.];83,82936508;74,20634921
41;2025-11-25T17:50:51.491960;[2. 1. 2. 1. 1. 2. 0. 2. 0. 0. 0. 0. 0. 0. 1. 0.];83,82936508;74,50396825
37;2025-11-25T11:47:12.587386;[2. 0. 2. 0. 0. 2. 1. 1. 0. 0. 0. 2. 2. 0. 1. 0.];83,73015873;52,67857143
29;2025-11-25T11:24:03.694470;[2. 0. 1. 2. 2. 2. 0. 2. 2. 0. 0. 0. 2. 0. 0. 0.];83,23412698;66,51785714
40;2025-11-25T11:55:41.912253;[1. 0. 0. 0. 2. 0. 0. 1. 0. 1. 1. 2. 2. 1. 1. 0.];83,23412698;52,62896825
29;2025-11-24T13:59:21.038250;[0. 1. 0. 0. 1. 0. 0. 1. 0. 2. 0. 1. 2. 2. 1. 1.];83,23412698;52,38095238
36;2025-11-24T19:07:59.506935;[1. 2. 2. 0. 1. 2. 1. 0. 0. 2. 2. 1. 0. 2. 2. 0.];83,03571429;64,53373016
33;2025-11-25T11:37:17.329576;[0. 2. 0. 0. 0. 1. 2. 0. 1. 1. 0. 1. 0. 2. 1. 0.];82,93650794;58,9781746
18;2025-11-24T13:08:24.855206;[0. 1. 2. 0. 2. 2. 0. 0. 1. 2. 0. 0. 2. 2. 2. 0.];82,83730159;60,11904762
16;2025-11-24T13:01:44.241860;[1. 0. 1. 1. 0. 1. 1. 1. 2. 0. 1. 1. 1. 1. 0. 2.];82,73809524;55,50595238
3;2025-11-25T10:06:28.226390;[0. 0. 2. 0. 1. 0. 1. 0. 2. 0. 1. 1. 0. 2. 2. 0.];82,63888889;58,82936508
13;2025-11-25T10:37:59.819814;[0. 1. 2. 0. 1. 0. 0. 1. 2. 0. 0. 1. 0. 0. 0. 1.];82,14285714;36,21031746
48;2025-11-25T18:12:58.993096;[2. 1. 2. 1. 1. 1. 0. 2. 0. 1. 0. 2. 0. 2. 0. 0.];82,04365079;73,01587302
27;2025-11-25T11:18:54.516185;[2. 2. 2. 1. 2. 2. 0. 1. 2. 2. 0. 0. 1. 1. 0. 0.];81,8452381;63,19444444
26;2025-11-24T13:46:07.629085;[0. 2. 0. 0. 2. 2. 2. 1. 0. 0. 2. 2. 2. 1. 0. 1.];81,6468254;63,98809524
48;2025-11-24T15:40:34.859253;[1. 1. 1. 1. 2. 0. 0. 0. 1. 1. 0. 0. 0. 2. 0. 0.];81,54761905;59,02777778
4;2025-11-25T15:53:26.082290;[2. 1. 2. 1. 1. 1. 0. 2. 0. 0. 0. 1. 0. 0. 1. 0.];81,4484127;73,95833333
8;2025-11-25T16:07:03.515428;[2. 1. 2. 1. 1. 1. 0. 2. 0. 0. 0. 1. 0. 0. 1. 0.];81,4484127;72,76785714
47;2025-11-25T18:08:18.694866;[2. 1. 2. 1. 1. 1. 0. 2. 0. 0. 0. 1. 0. 0. 1. 0.];81,4484127;73,66071429
8;2025-11-25T13:17:19.422909;[2. 1. 1. 0. 0. 2. 1. 0. 0. 2. 2. 0. 2. 2. 1. 1.];81,25;62,99603175
47;2025-11-25T12:18:48.223773;[1. 2. 1. 0. 0. 1. 2. 1. 2. 2. 2. 2. 0. 1. 1. 1.];81,15079365;35,91269841
1;2025-11-24T11:52:50.178934;[0. 2. 2. 1. 1. 2. 1. 0. 0. 1. 0. 1. 2. 2. 0. 0.];81,15079365;70,18849206
21;2025-11-25T11:01:30.808193;[0. 0. 0. 0. 0. 1. 1. 2. 0. 2. 0. 1. 0. 1. 1. 2.];80,55555556;45,88293651
45;2025-11-25T12:13:15.769961;[0. 2. 2. 1. 2. 0. 2. 1. 0. 2. 1. 1. 0. 2. 1. 1.];80,55555556;51,09126984
47;2025-11-21T14:12:33.400563;[1. 1. 0. 1. 1. 0. 0. 1. 0. 2. 1. 2. 0. 0. 0. 1.];80,45634921;37,05357143
19;2025-11-21T12:45:02.084934;[2. 1. 2. 1. 2. 0. 1. 2. 2. 2. 0. 2. 0. 2. 0. 0.];80,35714286;73,26388889
