search_space;fgsm_acc;pgd_acc;robustness;params;epoch
gnn;30,25830269;30,25830269;30,25830269;150132;26
gnn;30,25830269;30,25830269;30,25830269;150132;27
gnn;30,25830269;30,25830269;30,25830269;150132;28
gnn;30,25830269;30,25830269;30,25830269;150132;29
gnn;30,25830269;30,25830269;30,25830269;150132;30
gnn;30,25830269;30,25830269;30,25830269;150132;31
gnn;30,25830269;30,25830269;30,25830269;150132;32
gnn;30,25830269;30,25830269;30,25830269;150132;33
gnn;30,25830269;30,25830269;30,25830269;150132;34
gnn;30,25830269;30,25830269;30,25830269;150132;35
gnn;30,25830269;30,25830269;30,25830269;150132;36
gnn;30,25830269;30,25830269;30,25830269;150132;37
gnn;30,25830269;30,25830269;30,25830269;150132;38
gnn;30,25830269;30,25830269;30,25830269;150132;39
gnn;30,25830269;30,25830269;30,25830269;150132;40
gnn;30,25830269;30,25830269;30,25830269;150132;41
gnn;30,25830269;30,25830269;30,25830269;150132;42
gnn;30,25830269;30,25830269;30,25830269;150132;43
gnn;30,25830269;30,25830269;30,25830269;150132;44
gnn;30,25830269;30,25830269;30,25830269;150132;45
gnn;30,25830269;30,25830269;30,25830269;150132;46
gnn;30,25830269;30,25830269;30,25830269;150132;47
gnn;30,25830269;30,25830269;30,25830269;150132;48
gnn;30,25830269;30,25830269;30,25830269;150132;49
gnn;30,25830269;30,25830269;30,25830269;150132;50
gnn;30,25830269;30,25830269;30,25830269;150132;51
gnn;30,25830269;30,25830269;30,25830269;150132;52
gnn;30,25830269;30,25830269;30,25830269;150132;53
gnn;30,25830269;30,25830269;30,25830269;150132;54
gnn;30,25830269;30,25830269;30,25830269;150132;55
gnn;30,25830269;30,25830269;30,25830269;150132;56
gnn;30,25830269;30,25830269;30,25830269;150132;57
gnn;30,25830269;30,25830269;30,25830269;150132;58
gnn;30,25830269;30,25830269;30,25830269;150132;59
gnn;30,25830269;30,25830269;30,25830269;150132;60
gnn;30,25830269;30,25830269;30,25830269;150132;61
gnn;30,25830269;30,25830269;30,25830269;150132;62
gnn;30,25830269;30,25830269;30,25830269;150132;63
gnn;30,25830269;30,25830269;30,25830269;150132;64
gnn;30,25830269;30,25830269;30,25830269;150132;65
gnn;30,25830269;30,25830269;30,25830269;150132;66
gnn;30,25830269;30,25830269;30,25830269;150132;67
gnn;30,25830269;30,25830269;30,25830269;150132;68
gnn;30,25830269;30,25830269;30,25830269;150132;69
gnn;30,25830269;30,25830269;30,25830269;150132;70
gnn;30,25830269;30,25830269;30,25830269;150132;71
gnn;30,25830269;30,25830269;30,25830269;150132;72
gnn;30,25830269;30,25830269;30,25830269;150132;73
gnn;30,25830269;30,25830269;30,25830269;150132;74
gnn;30,25830269;30,25830269;30,25830269;150132;75
gnn;30,25830269;30,25830269;30,25830269;150132;76
gnn;30,25830269;30,25830269;30,25830269;150132;77
gnn;30,25830269;30,25830269;30,25830269;150132;78
gnn;30,25830269;30,25830269;30,25830269;150132;79
gnn;30,25830269;30,25830269;30,25830269;150132;80
gnn;30,25830269;30,25830269;30,25830269;150132;81
gnn;30,25830269;30,25830269;30,25830269;150132;82
gnn;30,25830269;30,25830269;30,25830269;150132;83
gnn;30,25830269;30,25830269;30,25830269;150132;84
gnn;30,25830269;30,25830269;30,25830269;150132;85
gnn;30,25830269;30,25830269;30,25830269;150132;86
gnn;30,25830269;30,25830269;30,25830269;150132;87
gnn;30,25830269;30,25830269;30,25830269;150132;88
gnn;30,25830269;30,25830269;30,25830269;150132;89
gnn;30,25830269;30,25830269;30,25830269;150132;90
gnn;30,25830269;30,25830269;30,25830269;150132;91
gnn;30,25830269;30,25830269;30,25830269;150132;92
gnn;30,25830269;30,25830269;30,25830269;150132;93
gnn;30,25830269;30,25830269;30,25830269;150132;94
gnn;30,25830269;30,25830269;30,25830269;150132;95
gnn;30,25830269;30,25830269;30,25830269;150132;96
gnn;30,25830269;30,25830269;30,25830269;150132;97
gnn;30,25830269;30,25830269;30,25830269;150132;98
gnn;30,25830269;30,25830269;30,25830269;150132;99
gnn;30,25830269;30,25830269;30,25830269;150132;100
gnn;30,25830269;30,25830269;30,25830269;150132;101
gnn;30,25830269;30,25830269;30,25830269;150132;102
gnn;30,25830269;30,25830269;30,25830269;150132;103
gnn;30,25830269;30,25830269;30,25830269;150132;104
gnn;30,25830269;30,25830269;30,25830269;150132;105
gnn;30,25830269;30,25830269;30,25830269;150132;106
gnn;30,25830269;30,25830269;30,25830269;150132;107
gnn;30,25830269;30,25830269;30,25830269;150132;108
gnn;30,25830269;30,25830269;30,25830269;150132;109
gnn;30,25830269;30,25830269;30,25830269;150132;110
gnn;30,25830269;30,25830269;30,25830269;150132;111
gnn;30,25830269;30,25830269;30,25830269;150132;112
gnn;30,25830269;30,25830269;30,25830269;150132;113
gnn;30,25830269;30,25830269;30,25830269;150132;114
gnn;30,25830269;30,25830269;30,25830269;150132;115
gnn;30,25830269;30,25830269;30,25830269;150132;116
gnn;30,25830269;30,25830269;30,25830269;150132;117
gnn;30,25830269;30,25830269;30,25830269;150132;118
gnn;30,25830269;30,25830269;30,25830269;150132;119
gnn;30,25830269;30,25830269;30,25830269;150132;120
gnn;30,25830269;30,25830269;30,25830269;150132;121
gnn;30,25830269;30,25830269;30,25830269;150132;122
gnn;30,25830269;30,25830269;30,25830269;150132;123
gnn;30,25830269;30,25830269;30,25830269;150132;124
gnn;30,25830269;30,25830269;30,25830269;150132;125
gnn;30,25830269;30,25830269;30,25830269;150132;126
gnn;30,25830269;30,25830269;30,25830269;150132;127
gnn;30,25830269;30,25830269;30,25830269;150132;128
gnn;30,25830269;30,25830269;30,25830269;150132;129
gnn;30,25830269;30,25830269;30,25830269;150132;130
gnn;30,25830269;30,25830269;30,25830269;150132;131
gnn;30,25830269;30,25830269;30,25830269;150132;132
gnn;30,25830269;30,25830269;30,25830269;150132;133
gnn;30,25830269;30,25830269;30,25830269;150132;134
gnn;30,25830269;30,25830269;30,25830269;150132;135
gnn;30,25830269;30,25830269;30,25830269;150132;136
gnn;30,25830269;30,25830269;30,25830269;150132;137
gnn;30,25830269;30,25830269;30,25830269;150132;138
gnn;30,25830269;30,25830269;30,25830269;150132;139
gnn;30,25830269;30,25830269;30,25830269;150132;140
gnn;30,25830269;30,25830269;30,25830269;150132;141
gnn;30,25830269;30,25830269;30,25830269;150132;142
gnn;30,25830269;30,25830269;30,25830269;150132;143
gnn;30,25830269;30,25830269;30,25830269;150132;144
gnn;30,25830269;30,25830269;30,25830269;150132;145
gnn;30,25830269;30,25830269;30,25830269;150132;146
gnn;30,25830269;30,25830269;30,25830269;150132;147
gnn;30,25830269;30,25830269;30,25830269;150132;148
gnn;30,25830269;30,25830269;30,25830269;150132;149
gnn;30,25830269;30,25830269;30,25830269;150132;150
gnn;30,25830269;30,25830269;30,25830269;150132;151
gnn;30,25830269;30,25830269;30,25830269;150132;152
gnn;30,25830269;30,25830269;30,25830269;150132;153
gnn;30,25830269;30,25830269;30,25830269;150132;154
gnn;30,25830269;30,25830269;30,25830269;150132;155
gnn;30,25830269;30,25830269;30,25830269;150132;156
gnn;30,25830269;30,25830269;30,25830269;150132;157
gnn;30,25830269;30,25830269;30,25830269;150132;158
gnn;30,25830269;30,25830269;30,25830269;150132;159
gnn;30,25830269;30,25830269;30,25830269;150132;160
gnn;30,25830269;30,25830269;30,25830269;150132;161
gnn;30,25830269;30,25830269;30,25830269;150132;162
gnn;30,25830269;30,25830269;30,25830269;150132;163
gnn;30,25830269;30,25830269;30,25830269;150132;164
gnn;30,25830269;30,25830269;30,25830269;150132;165
gnn;30,25830269;30,25830269;30,25830269;150132;166
gnn;30,25830269;30,25830269;30,25830269;150132;167
gnn;30,25830269;30,25830269;30,25830269;150132;168
gnn;30,25830269;30,25830269;30,25830269;150132;169
gnn;30,25830269;30,25830269;30,25830269;150132;170
gnn;30,25830269;30,25830269;30,25830269;150132;171
gnn;30,25830269;30,25830269;30,25830269;150132;172
gnn;30,25830269;30,25830269;30,25830269;150132;173
gnn;30,25830269;30,25830269;30,25830269;150132;174
gnn;30,25830269;30,25830269;30,25830269;150132;175
gnn;30,25830269;30,25830269;30,25830269;150132;176
gnn;30,25830269;30,25830269;30,25830269;150132;177
gnn;30,25830269;30,25830269;30,25830269;150132;178
gnn;30,25830269;30,25830269;30,25830269;150132;179
gnn;30,25830269;30,25830269;30,25830269;150132;180
gnn;30,25830269;30,25830269;30,25830269;150132;181
gnn;30,25830269;30,25830269;30,25830269;150132;182
gnn;30,25830269;30,25830269;30,25830269;150132;183
gnn;30,25830269;30,25830269;30,25830269;150132;184
gnn;30,25830269;30,25830269;30,25830269;150132;185
gnn;30,25830269;30,25830269;30,25830269;150132;186
gnn;30,25830269;30,25830269;30,25830269;150132;187
gnn;30,25830269;30,25830269;30,25830269;150132;188
gnn;30,25830269;30,25830269;30,25830269;150132;189
gnn;30,25830269;30,25830269;30,25830269;150132;190
gnn;30,25830269;30,25830269;30,25830269;150132;191
gnn;30,25830269;30,25830269;30,25830269;150132;192
gnn;30,25830269;30,25830269;30,25830269;150132;193
gnn;30,25830269;30,25830269;30,25830269;150132;194
gnn;30,25830269;30,25830269;30,25830269;150132;195
gnn;30,25830269;30,25830269;30,25830269;150132;196
gnn;30,25830269;30,25830269;30,25830269;150132;197
gnn;30,25830269;30,25830269;30,25830269;150132;198
gnn;30,25830269;30,25830269;30,25830269;150132;199
