timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;fgsm_acc;pgd_acc;robustness;params;total_time_sec
37:19,9;36;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:20,1;37;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:20,3;38;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:20,5;39;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:20,7;40;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:20,9;41;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:21,1;42;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:21,3;43;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:21,5;44;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:21,7;45;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:21,8;46;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:22,0;47;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:22,2;48;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:22,4;49;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:22,6;50;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:22,8;51;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:23,0;52;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:23,2;53;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:23,4;54;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:23,6;55;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
