Generation,CleanAcc,BlackAcc
0,88.4920634920635,73.21428571428571
0,86.30952380952381,75.5952380952381
0,83.92857142857143,76.24007936507937
0,88.39285714285714,75.1984126984127
0,89.18650793650794,66.96428571428571
0,88.88888888888889,72.37103174603175
1,88.4920634920635,73.21428571428571
1,86.30952380952381,75.5952380952381
1,83.92857142857143,76.24007936507937
1,88.39285714285714,75.1984126984127
1,88.88888888888889,72.37103174603175
1,89.68253968253968,69.99007936507937
2,88.4920634920635,73.21428571428571
2,86.30952380952381,75.5952380952381
2,83.92857142857143,76.24007936507937
2,88.39285714285714,75.1984126984127
2,88.88888888888889,72.37103174603175
2,89.68253968253968,69.99007936507937
3,88.4920634920635,73.21428571428571
3,86.30952380952381,75.5952380952381
3,83.92857142857143,76.24007936507937
3,88.39285714285714,75.1984126984127
3,88.88888888888889,72.37103174603175
3,89.68253968253968,69.99007936507937
4,88.4920634920635,73.21428571428571
4,86.30952380952381,75.5952380952381
4,83.92857142857143,76.24007936507937
4,88.39285714285714,75.1984126984127
4,88.88888888888889,72.37103174603175
4,89.68253968253968,69.99007936507937
5,88.4920634920635,73.21428571428571
5,86.30952380952381,75.5952380952381
5,83.92857142857143,76.24007936507937
5,88.39285714285714,75.1984126984127
5,88.88888888888889,72.37103174603175
5,89.68253968253968,69.99007936507937
6,88.4920634920635,73.21428571428571
6,86.30952380952381,75.5952380952381
6,83.92857142857143,76.24007936507937
6,88.39285714285714,75.1984126984127
6,88.88888888888889,72.37103174603175
6,89.68253968253968,69.99007936507937
7,88.4920634920635,73.21428571428571
7,86.30952380952381,75.5952380952381
7,83.92857142857143,76.24007936507937
7,88.39285714285714,75.1984126984127
7,88.88888888888889,72.37103174603175
7,89.68253968253968,69.99007936507937
8,88.4920634920635,73.21428571428571
8,86.30952380952381,75.5952380952381
8,83.92857142857143,76.24007936507937
8,88.39285714285714,75.1984126984127
8,88.88888888888889,72.37103174603175
8,89.68253968253968,69.99007936507937
9,88.4920634920635,73.21428571428571
9,86.30952380952381,75.5952380952381
9,83.92857142857143,76.24007936507937
9,88.39285714285714,75.1984126984127
9,88.88888888888889,72.37103174603175
9,89.68253968253968,69.99007936507937
10,88.4920634920635,73.21428571428571
10,86.30952380952381,75.5952380952381
10,83.92857142857143,76.24007936507937
10,88.39285714285714,75.1984126984127
10,88.88888888888889,72.37103174603175
10,89.68253968253968,69.99007936507937
11,88.4920634920635,73.21428571428571
11,86.30952380952381,75.5952380952381
11,83.92857142857143,76.24007936507937
11,88.39285714285714,75.1984126984127
11,88.88888888888889,72.37103174603175
11,89.68253968253968,69.99007936507937
12,88.4920634920635,73.21428571428571
12,86.30952380952381,75.5952380952381
12,83.92857142857143,76.24007936507937
12,88.39285714285714,75.1984126984127
12,88.88888888888889,72.37103174603175
12,89.68253968253968,69.99007936507937
13,88.4920634920635,73.21428571428571
13,86.30952380952381,75.5952380952381
13,83.92857142857143,76.24007936507937
13,88.39285714285714,75.1984126984127
13,88.88888888888889,72.37103174603175
13,89.68253968253968,69.99007936507937
14,88.4920634920635,73.21428571428571
14,86.30952380952381,75.5952380952381
14,83.92857142857143,76.24007936507937
14,88.39285714285714,75.1984126984127
14,88.88888888888889,72.37103174603175
14,89.68253968253968,69.99007936507937
15,88.4920634920635,73.21428571428571
15,86.30952380952381,75.5952380952381
15,83.92857142857143,76.24007936507937
15,88.39285714285714,75.1984126984127
15,88.88888888888889,72.37103174603175
15,89.68253968253968,69.99007936507937
16,88.4920634920635,73.21428571428571
16,86.30952380952381,75.5952380952381
16,83.92857142857143,76.24007936507937
16,88.39285714285714,75.1984126984127
16,88.88888888888889,72.37103174603175
16,89.68253968253968,69.99007936507937
17,88.4920634920635,73.21428571428571
17,86.30952380952381,75.5952380952381
17,83.92857142857143,76.24007936507937
17,88.39285714285714,75.1984126984127
17,88.88888888888889,72.37103174603175
17,89.68253968253968,69.99007936507937
18,88.4920634920635,73.21428571428571
18,86.30952380952381,75.5952380952381
18,83.92857142857143,76.24007936507937
18,88.39285714285714,75.1984126984127
18,88.88888888888889,72.37103174603175
18,89.68253968253968,69.99007936507937
19,88.4920634920635,73.21428571428571
19,86.30952380952381,75.5952380952381
19,83.92857142857143,76.24007936507937
19,88.39285714285714,75.1984126984127
19,88.88888888888889,72.37103174603175
19,89.68253968253968,69.99007936507937
20,88.4920634920635,73.21428571428571
20,86.30952380952381,75.5952380952381
20,83.92857142857143,76.24007936507937
20,88.39285714285714,75.1984126984127
20,88.88888888888889,72.37103174603175
20,89.68253968253968,69.99007936507937
21,88.4920634920635,73.21428571428571
21,86.30952380952381,75.5952380952381
21,83.92857142857143,76.24007936507937
21,88.39285714285714,75.1984126984127
21,88.88888888888889,72.37103174603175
21,89.68253968253968,69.99007936507937
22,88.4920634920635,73.21428571428571
22,86.30952380952381,75.5952380952381
22,83.92857142857143,76.24007936507937
22,88.39285714285714,75.1984126984127
22,88.88888888888889,72.37103174603175
